"Fap","diplome","Annee","Pourcentage"
"Q1Z","Bac, brevet professionnel ou équivalent","1982-1984",0.239657811410849
"Q1Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.251261240179361
"Q1Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.368227262594526
"Q1Z","En cours d'études initiales","1982-1984",0.00713632138472204
"Q2Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.260482240039748
"Q2Z","Bac + 2","1982-1984",0.0827964684949377
"Q2Z","Bac, brevet professionnel ou équivalent","1982-1984",0.271684952603004
"Q2Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.116230117270531
"Q2Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.267958041465449
"Q2Z","En cours d'études initiales","1982-1984",0.000848180126331049
"R0Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00382812126007508
"R0Z","Bac + 2","1982-1984",0.0160384770699675
"R0Z","Bac, brevet professionnel ou équivalent","1982-1984",0.06266928132607
"R0Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.300597794480493
"R0Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.599668362248977
"R0Z","En cours d'études initiales","1982-1984",0.0171979636144181
"R1Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.00460296200530076
"R1Z","Bac + 2","1982-1984",0.00929147272867823
"R1Z","Bac, brevet professionnel ou équivalent","1982-1984",0.0619845147706844
"R1Z","CAP, BEP ou autre diplôme équivalent","1982-1984",0.249516138949404
"R1Z","Aucun diplôme, CEP ou brevet des collèges","1982-1984",0.62495508141085
"R1Z","En cours d'études initiales","1982-1984",0.0496498301350827
"R2Z","Diplôme supérieur (bac + 3 ou plus)","1982-1984",0.0375163105128313
"R2Z","Bac + 2","1982-1984",0.0789863935182366
"R2Z","Bac, brevet professionnel ou équivalent","1982-1984",0.184507646615779
